site_id,site_name,latitude,longitude,elevation_m,site_type,elevation_accuracy_m,priority,note
S01,北部山坡源头站,30.0000,120.0000,168.0,坡面,1.5,1,高程最高的坡面源头点
S02,西北沟谷站,30.0048,119.9965,146.0,溪沟,1.5,1,西侧支沟向主沟汇入
S03,东北林地径流站,30.0055,120.0048,151.0,坡面,2.0,2,东北侧坡面输入
S04,上游主沟站,30.0095,120.0010,127.0,河流,1.5,1,主沟上游控制点
S05,西侧支流汇入口,30.0110,119.9945,118.0,溪沟,2.0,2,支流汇入口附近
S06,中游桥下站,30.0155,120.0018,103.0,河流,1.0,1,中游桥下断面
S07,东侧雨水口,30.0140,120.0092,110.0,雨水口,2.5,3,城市雨水输入点
S08,湿地入口站,30.0205,120.0032,91.0,湿地,1.5,1,进入湿地前控制点
S09,湿地中心站,30.0245,120.0040,86.0,湿地,1.5,2,湿地中心滞留区
S10,排口混合站,30.0260,120.0100,84.0,排口,2.0,2,疑似侧向排口影响
S11,下游出境站,30.0305,120.0062,72.0,河流,1.0,1,下游出境断面
S12,低洼湖库站,30.0320,120.0015,69.0,湖库,1.5,2,末端低洼蓄水区
